FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
31/12/2024;"TradeRepublicFondo";"Inicial";2100,00;"EXISTENCIA INICIAL"
31/12/2024;"MyinvestorPensión";"Inicial";13500,00;"EXISTENCIA INICIAL"
31/12/2024;"Revolut";"Inicial";300,00;"EXISTENCIA INICIAL"
31/12/2024;"Letras";"Inicial";50000,00;"EXISTENCIA INICIAL"
31/12/2024;"TradeRepublic";"Inicial";31734,01;"EXISTENCIA INICIAL"
31/12/2024;"Sabadell";"Inicial";1908,93;"EXISTENCIA INICIAL"
31/12/2024;"Ing";"Inicial";58,18;"EXISTENCIA INICIAL"
31/12/2024;"Efectivo";"Inicial";51,70;"EXISTENCIA INICIAL"
31/12/2024;"Santander";"Inicial";903,80;"EXISTENCIA INICIAL"
31/12/2024;"Tarjeta";"Inicial";-697,85;"EXISTENCIA INICIAL"
31/12/2024;"Naranja";"Inicial";22066,90;"EXISTENCIA INICIAL"
01/01/2025;"N-Casa";"Inicial";165779,11;"Existencia inicial"
01/01/2025;"N-Garaje&Trastero";"Inicial";12629,86;"Existencia inicial"
01/01/2025;"N-Mobilcasa";"Inicial";9523,93;"Existencia inicial"
01/01/2025;"N-Garaje";"Inicial";8038,54;"Existencia inicial"
01/01/2025;"N-Piso";"Inicial";67716,63;"Existencia inicial"
01/01/2025;"Naranja";"Intereses";1,74;"INTERESES"
01/01/2025;"Tarjeta";"Comida";-79,46;"MERCADONA"
01/01/2025;"TradeRepublic";"Intereses";68,17;"INTERESES"
01/01/2025;"N-Mobilpiso";"Inicial";12925,80;"Existencia inicial"
01/01/2025;"N-Coche";"Inicial";17654,07;"Existencia inicial"
02/01/2025;"Santander";"Comunidad";-60,00;"COMUNIDAD"
02/01/2025;"Santander";TRASPASO;-700,00;"TRASPASO"
02/01/2025;"Revolut";TRASPASO;700,00;"TRASPASO"
02/01/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
02/01/2025;"TradeRepublicFondo";TRASPASO;1000,00;"TRASPASO"
02/01/2025;"Santander";"Alquiler";800,00;"ENERO"
02/01/2025;"Tarjeta";"Ocio";-1,20;"ALMUERZO"
02/01/2025;"Tarjeta";"Otros gastos";-64,96;"CHORRADICAS VARIAS"
03/01/2025;"Tarjeta";"Variosvivienda";-40,97;"SARTENES Y VARIOS"
03/01/2025;"Santander";"Comunes";242,87;"DICIEMBRE"
03/01/2025;"Tarjeta";"Ocio";-1,20;"ALMUERZO"
04/01/2025;"Tarjeta";TRASPASO;-200,00;"TRASPASO"
04/01/2025;"Revolut";TRASPASO;200,00;"TRASPASO"
04/01/2025;"Sabadell";TRASPASO;-500,00;"TRASPASO"
04/01/2025;"Revolut";TRASPASO;500,00;"TRASPASO"
05/01/2025;"Ing";TRASPASO;-126,82;"TRASPASO"
05/01/2025;"TradeRepublic";TRASPASO;126,82;"TRASPASO"
05/01/2025;"Naranja";TRASPASO;-68,64;"TRASPASO"
05/01/2025;"Ing";TRASPASO;68,64;"TRASPASO"
06/01/2025;"Tarjeta";"Regalos";-198,81;"ONEPLUS WATCH"
07/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
07/01/2025;"Santander";"Comunidad";-30,00;"GARAJE"
07/01/2025;"Santander";TRASPASO;-300,00;"TRASPASO"
07/01/2025;"Revolut";TRASPASO;300,00;"TRASPASO"
08/01/2025;"Santander";"Comida";-61,61;"MERCADONA"
08/01/2025;"Efectivo";"Ocio";-1,70;"ALMUERZO"
09/01/2025;"Santander";"Medicamentos";-2,86;"MEDICAMENTOS"
09/01/2025;"Santander";"Deporte";-7,50;"DEPORTE"
09/01/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
11/01/2025;"Sabadell";"Otros gastos";-39,26;"OTROS GASTOS"
11/01/2025;"Santander";"Deporte";-14,00;"DEPORTE"
11/01/2025;"Santander";"Comida";-15,62;"MERCADONA"
13/01/2025;"Santander";"Deporte";-7,50;"PÁDEL"
13/01/2025;"Santander";"Comida";-61,17;"MERCADONA"
13/01/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
14/01/2025;"Sabadell";"Intereses";6,89;"INTERESES"
14/01/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
14/01/2025;"Santander";"Combustible";-70,01;"GASOLINA"
15/01/2025;"TradeRepublic";TRASPASO;-15000,00;"TRASPASO"
15/01/2025;"Freedom24";TRASPASO;15000,00;"TRASPASO"
15/01/2025;"Santander";"Ocio";-3,50;"ALMUERZO"
15/01/2025;"Sabadell";TRASPASO;-376,56;"TRASPASO"
15/01/2025;"Santander";TRASPASO;376,56;"TRASPASO"
16/01/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
16/01/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
16/01/2025;"Sabadell";TRASPASO;1000,00;"TRASPASO"
16/01/2025;"Sabadell";TRASPASO;-1000,00;"TRASPASO"
16/01/2025;"Revolut";TRASPASO;1000,00;"TRASPASO"
16/01/2025;"Santander";"Deporte";-50,00;"BONO PÁDEL"
16/01/2025;"TradeRepublic";TRASPASO;-1000,30;"TRASPASO"
16/01/2025;"TradeRepublicFondo";TRASPASO;1000,30;"TRASPASO"
16/01/2025;"TradeRepublic";TRASPASO;-2000,00;"TRASPASO"
16/01/2025;"InteractiveBrokers";TRASPASO;2000,00;"TRASPASO"
16/01/2025;"Santander";"Luz";-16,36;"LUZ"
17/01/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
18/01/2025;"Santander";"Comida";-111,87;"CARREFOUR"
20/01/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
20/01/2025;"InteractiveBrokers";TRASPASO;1000,00;"TRASPASO"
20/01/2025;"TradeRepublic";TRASPASO;-1928,70;"TRASPASO"
20/01/2025;"Ing";TRASPASO;1928,70;"TRASPASO"
20/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
