id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982011_uls2vuklt,2024-12-31,EXISTENCIA INICIAL,"165779,11",movimiento,D-Casa,Inicial,,
id_1751070982011_yxjmflaa7,2024-12-31,EXISTENCIA INICIAL,"17654,07",movimiento,D-Coche,Inicial,,
id_1751070982011_e7t5kwq4r,2024-12-31,EXISTENCIA INICIAL,"8038,54",movimiento,D-Garaje,Inicial,,
id_1751070982011_yu9kogpl2,2024-12-31,EXISTENCIA INICIAL,"12629,86",movimiento,D-Garaje&Trastero,Inicial,,
id_1751070982011_k43enibvn,2024-12-31,EXISTENCIA INICIAL,"9523,93",movimiento,D-Mobilcasa,Inicial,,
id_1751070982011_3htmslh6s,2024-12-31,EXISTENCIA INICIAL,"12925,80",movimiento,D-Mobilpiso,Inicial,,
id_1751070982011_3p368z5hw,2024-12-31,EXISTENCIA INICIAL,"67716,63",movimiento,D-Piso,Inicial,,
id_1751070982011_693nh2284,2024-12-31,EXISTENCIA INICIAL,"82889,54",movimiento,N-Casa,Inicial,,
id_1751070982011_pgy9u53h0,2024-12-31,EXISTENCIA INICIAL,"17654,07",movimiento,N-Coche,Inicial,,
id_1751070982011_fyo4skvtf,2024-12-31,EXISTENCIA INICIAL,"12629,86",movimiento,N-Garaje&Trastero,Inicial,,
id_1751070982011_lg6gzluzj,2024-12-31,EXISTENCIA INICIAL,"9523,93",movimiento,N-MobilCasa,Inicial,,
id_1751070982011_jca38xj1c,2024-12-31,EXISTENCIA INICIAL,"3075,00",movimiento,N-Mobilpiso,Inicial,,
id_1751070982011_jpq3y55w9,2024-12-31,EXISTENCIA INICIAL,"13500,00",movimiento,D-MyinvestorPensión,Inicial,,
id_1751070982011_fpm9nvy46,2024-12-31,EXISTENCIA INICIAL,"2100,00",movimiento,D-TradeRepublicFondo,Inicial,,
id_1751070982011_omjjy0x2c,2024-12-31,EXISTENCIA INICIAL,"8540,00",movimiento,N-Pensión,Inicial,,
id_1751070982012_zie7wvk4p,2025-01-01,EXISTENCIA INICIAL,"0,00",movimiento,N-TradeRepublicFondos,Inicial,,
id_1751070982012_tlqmblxzp,2024-12-31,EXISTENCIA INICIAL,"-697,85",movimiento,D-Tarjeta,Inicial,,
id_1751070982012_p1t0imhop,2024-12-31,EXISTENCIA INICIAL,"-222,90",movimiento,N-Tarjeta,Inicial,,
id_1751070982012_q8mdjtm9u,2024-12-31,EXISTENCIA INICIAL,"51,70",movimiento,D-Efectivo,Inicial,,
id_1751070982012_9e1adhk0d,2024-12-31,EXISTENCIA INICIAL,"141,43",movimiento,N-Efectivo,Inicial,,
id_1751070982012_ppq4tkd23,2024-12-31,EXISTENCIA INICIAL,"58,18",movimiento,D-Ing,Inicial,,
id_1751070982012_b69uym8ia,2024-12-31,EXISTENCIA INICIAL,"50000,00",movimiento,D-Letras,Inicial,,
id_1751070982012_y89tuujfa,2024-12-31,EXISTENCIA INICIAL,"22066,90",movimiento,D-Naranja,Inicial,,
id_1751070982012_9x3ekk33e,2024-12-31,EXISTENCIA INICIAL,"300,00",movimiento,D-Revolut,Inicial,,
id_1751070982012_k5z8mo1wz,2024-12-31,EXISTENCIA INICIAL,"1908,93",movimiento,D-Sabadell,Inicial,,
id_1751070982012_qsgd9i9eo,2024-12-31,EXISTENCIA INICIAL,"903,80",movimiento,D-Santander,Inicial,,
id_1751070982012_i3hg15k92,2024-12-31,EXISTENCIA INICIAL,"31734,01",movimiento,D-TradeRepublic,Inicial,,
id_1751070982012_ts3cp0k9u,2025-01-01,EXISTENCIA INICIAL,"0,00",movimiento,N-Ing,Inicial,,
id_1751070982012_xul1kfjzs,2024-12-31,EXISTENCIA INICIAL,"122000,00",movimiento,N-Letras,Inicial,,
