FECHA,CUENTAS,CONCEPTO,IMPORTE,DESCRIPCION
31/12/2024,DEPOSITO SABADELL,INICIAL,55000,INICIAL
31/12/2024,TRADE REPUBLIC,INICIAL,"43591,9",INICIAL
31/12/2024,MSCI WORLD USD (ACC),INICIAL,2000,INICIAL
31/12/2024,MSCI EMERGING MARKETS EUR (ACC),INICIAL,2000,INICIAL
31/12/2024,CORE S&P 500 USD (ACC),INICIAL,0,INICIAL
31/12/2024,CORE MSCI EUROPE EUR (ACC),INICIAL,0,INICIAL
31/12/2024,NASDAQ 100 SWAP USD (ACC),INICIAL,0,INICIAL
31/12/2024,SABADELL,INICIAL,"1476,19",INICIAL
31/12/2024,CAJA,INICIAL,2800,INICIAL
31/12/2024,CUENTA NARANJA,INICIAL,"214,02",INICIAL
31/12/2024,CUENTA NO CUENTA,INICIAL,0,INICIAL
31/12/2024,FONDO CUENTA FIDELY GLOBAL TEC.,INICIAL,25000,INICIAL
31/12/2024,FONDO CUENTA NARANJA 90,INICIAL,50000,INICIAL
31/12/2024,DEPOSITO ING 4 MESES,INICIAL,15000,INICIAL
31/12/2024,BANCO DE ESPAÑA,INICIAL,50000,INICIAL
01/01/2025,CUENTA NARANJA,INTERESES,"0,66",INTERESES
01/01/2025,TRADE REPUBLIC,INTERESES,"118,2",INTERESES
02/01/2025,SABADELL,COMUNIDAD,-30,COMUNIDAD
02/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
02/01/2025,MSCI EMERGING MARKETS EUR (ACC),TRASPASOS,250,TRASPASOS
02/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
02/01/2025,MSCI WORLD USD (ACC),TRASPASOS,250,TRASPASOS
02/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
02/01/2025,CORE MSCI EUROPE EUR (ACC),TRASPASOS,250,TRASPASOS
02/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
02/01/2025,CORE S&P 500 USD (ACC),TRASPASOS,250,TRASPASOS
02/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
02/01/2025,NASDAQ 100 SWAP USD (ACC),TRASPASOS,250,TRASPASOS
04/01/2025,SABADELL,ZAPATILLAS MAMA,-25,ZAPATILLAS MAMA
04/01/2025,SABADELL,COMIDA,"-73,6",COMIDA
04/01/2025,SABADELL,GARAJE,60,GARAJE
05/01/2025,SABADELL,GARAJE,-130,GARAJE
06/01/2025,SABADELL,COMIDA,-175,COMIDA
07/01/2025,SABADELL,MEDICAMENTOS PAPA,"-4,24",MEDICAMENTOS PAPA
07/01/2025,SABADELL,MEDICAMENTOS MAMA,"-57,7",MEDICAMENTOS MAMA
08/01/2025,SABADELL,LA ALIANZA,"-177,77",LA ALIANZA
09/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
09/01/2025,MSCI EMERGING MARKETS EUR (ACC),TRASPASOS,250,TRASPASOS
09/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
09/01/2025,MSCI WORLD USD (ACC),TRASPASOS,250,TRASPASOS
09/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
09/01/2025,CORE MSCI EUROPE EUR (ACC),TRASPASOS,250,TRASPASOS
09/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
09/01/2025,CORE S&P 500 USD (ACC),TRASPASOS,250,TRASPASOS
09/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
09/01/2025,NASDAQ 100 SWAP USD (ACC),TRASPASOS,250,TRASPASOS
10/01/2025,SABADELL,INTERESES,"594,62",INTERESES
10/01/2025,SABADELL,GASTOS PAPA,"-6,25",CUOTA SOCIO MÚSICA
10/01/2025,SABADELL,GASTOS MAMA,"-6,25",CUOTA SOCIO MÚSICA
10/01/2025,SABADELL,TELEFONO,"-35,1",TELEFONO
16/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
16/01/2025,MSCI EMERGING MARKETS EUR (ACC),TRASPASOS,250,TRASPASOS
16/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
16/01/2025,MSCI WORLD USD (ACC),TRASPASOS,250,TRASPASOS
16/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
16/01/2025,CORE MSCI EUROPE EUR (ACC),TRASPASOS,250,TRASPASOS
16/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
16/01/2025,CORE S&P 500 USD (ACC),TRASPASOS,250,TRASPASOS
16/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
16/01/2025,NASDAQ 100 SWAP USD (ACC),TRASPASOS,250,TRASPASOS
20/01/2025,SABADELL,LUZ,"-48,34",LUZ
20/01/2025,SABADELL,GAS,"-19,83",GAS
21/01/2025,SABADELL,AGUA,"-33,53",AGUA
22/01/2025,SABADELL,GASTOS PAPA,-50,PAGO MULTA COCHE
23/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
23/01/2025,MSCI EMERGING MARKETS EUR (ACC),TRASPASOS,250,TRASPASOS
23/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
23/01/2025,MSCI WORLD USD (ACC),TRASPASOS,250,TRASPASOS
23/01/2025,TRADE REPUBLIC,TRASPASOS,-250,TRASPASOS
